rank,power,team_name,team_players
1,1976,G2,"huNter-, m0NESY, malbsMd, NiKo, Snax"
2,1887,Natus Vincere,"Aleksib, b1t, iM, jL, w0nderful"
3,1851,Spirit,"chopper, donk, magixx, sh1ro, zont1x"
4,1826,Vitality,"apEX, flameZ, JACKZ, Spinx, ZywOo"
5,1731,The MongolZ,"910, bLitz, mzinho, Senzu, Techno"
6,1683,MOUZ,"Brollan, Jimpphat, siuhy, torzsi, xertioN"
7,1660,Eternal Fire,"Calyx, MAJ3R, Wicadia, woxic, XANTARES"
8,1626,HEROIC,"degster, kyxsan, NertZ, sjuush, TeSeS"
9,1618,FaZe,"broky, frozen, karrigan, rain, ropz"
10,1585,FURIA,"chelo, FalleN, KSCERATO, skullz, yuurih"
11,1551,Liquid,"jks, NAF, Twistzz, ultimate, YEKINDAR"
12,1535,SAW,"Ag1l, ewjerkz, MUTiRiS, roman, story"
13,1483,Complexity,"EliGE, floppy, Grim, hallzerk, JT"
14,1480,Astralis,"cadiaN, device, jabbi, Staehr, stavn"
15,1453,Virtus.pro,"electroNic, fame, FL1T, Jame, n0rb3r7"
16,1448,Sangal,"jottAAA, LNZ, SaMey, xfl0ud, yxngstxr"
17,1436,paiN,"biguzera, kauez, lux, nqz, snow"
18,1387,3DMAX,"Djoko, Ex3rcice, Graviti, Lucky, Maka"
19,1379,FlyQuest,"aliStair, dexter, INS, Liazz, Vexite"
20,1315,Nemiga,"1eeR, khaN, riskyb0b, Xant3r, zweih"
21,1310,B8,"alex666, cptkurtka023, esenthial, headtr1ck, npl"
22,1306,BIG,"JDC, Krimbo, rigoN, syrsoN, tabseN"
23,1299,ENCE,"gla1ve, Neityu, podi, sdy, xKacpersky"
24,1291,MIBR,"drop, exit, insani, Lucaozy, saffee"
25,1255,M80,"Lake, reck, s1n, slaxz-, Swisher"
26,1255,Wildcard,"JBa, phzy, Sonic, stanislaw, susp"
27,1243,Falcons,"dupreeh, Maden, Magisk, s1mple, Snappi"
28,1218,fnatic,"blameF, bodyy, KRIMZ, MATYS, nawwk"
29,1205,Fluxo,"arT, kye, nicks, piriajr, zevy"
30,1199,9z,"buda, dgt, HUASOPEEK, MartinezSa, max"
31,1193,BESTIA,"luchov, naz, Noktse, tomaszin, zock"
32,1183,9 Pandas,"d1Ledez, glowiing, iDISBALANCE, r3salt, shalfey"
33,1174,Imperial,"decenty, felps, noway, try, VINI"
34,1152,Legacy,"b4rtiN, dumau, latto, NEKIZ, saadzin"
35,1150,BetBoom,"KaiR0N-, Magnojez, nafany, s1ren, zorte"
36,1147,Monte,"DemQQ, dycha, hades, KEi, kRaSnaL"
37,1131,UNPAID,"CYPHER, h4rn, jkaem, nexa, VLDN"
38,1117,GamerLegion,"FL4MUS, sl3nd, Tauson, volt, ztr"
39,1113,RED Canids,"coldzera, dav1deuS, HEN1, nython, venomzera"
40,1112,Spirit Academy,"alkarenn, kyousuke, Mokuj1n, robo, syph0"
41,1111,NAVI Junior,"cmtry, dem0n, dziugss, Krabeni, makazze"
42,1105,ECLOT,"Blytz, Dytor, forsyy, kreaz, nbqq"
43,1095,500,"CeRq, oxygeN, Rainwaker, SHiPZ, SPELLAN"
44,1095,Ninjas in Pyjamas,"isak, jocab, MisteM, r1nkle, REZ"
45,1093,Metizport,"adamb, L00m1, nilo, Plopski, SHiNE"
46,1091,GUN5,"easy, Sdaim, SELLTER, tN1R, xiELO"
47,1087,NRG,"autimatic, Brehze, HexT, nitr0, oSee"
48,1086,Sharks,"doc, gafolo, hoax, koala, rdnzao"
49,1082,PARIVISION,"alpha, ArtFr0st, BELCHONOKK, Patsi, Qikert"
50,1076,Aurora,"clax, deko, KENSI, Lack1, Norwi"
51,1051,SINNERS,"beastik, majky, MoriiSko, oskar, SHOCK"
52,1043,Johnny Speeds,"bobeksde, draken, hampus, Ro1f, spooke"
53,1040,TYLOO,"JamYoung, Jee, Mercury, Moseyuh, Starry"
54,1034,Zero Tenacity,"aVN, brutmonster, Cjoffo, nEMANHA, simke"
55,1030,ODDIK,"ksloks, matios, naitte, togs, WOOD7"
56,1030,Nouns,"cJ dA K1nG, Jeorge, junior, nosraC, RUSH"
57,1030,Cloud9,"Ax1Le, Boombl4, HeavyGod, ICY, interz"
58,1021,Sashi,"Cabbi, IceBerg, kwezz, Lucky, MistR"
59,1012,Passion UA,"fear, jackasmo, jambo, s-chilla, zeRRoFIX"
60,1010,OG,"Buzz, Chr1zN, F1KU, M1key, MoDo"
61,1003,Gaimin Gladiators,"kraghen, nicoodoz, Nodios, Queenix, roeJ"
62,1000,ECSTATIC,"Anlelele, Kristou, n1Xen, nut nut, TMB"
63,998,ATOX,"FlyNN, kabal, masti, MiQ, yAmi"
64,992,Lynn Vision,"afufu, EmiliaQAQ, flying, Westmelon, z4kr"
65,991,Serbia,"c0llins, choiv7, Dragon, emi, Kind0"
66,989,BOSS,"Cryptic, d4rty, freshie, Fruitcupx, SLIGHT"
67,982,9INE,"mantuu, misutaaa, raalz, refrezh, s0und"
68,971,Solid,"ALLE, destiny, drg, gbb, Misfit"
69,970,Into the Breach,"juanflatroo, Keoz, REDSTAR, sinnopsyy, smooya"
70,969,FAVBET,"bondik, j3kie, Marix, Smash, t3ns1on"
71,967,Insilio,"faydett, FpSSS, kelieN, Pipw, sugaR"
72,954,IHC,"AccuracyTG, Efire, rate, ROUX, Zesta"
73,953,Party Astronauts,"ben1337, FaNg, Infinite, ogwizard, Peeping"
74,949,Rebels,"casey, flayy, innocent, kisserek, olimp"
75,943,Rare Atom,"ChildKing, kaze, L1haNg, somebody, Summer"
76,939,JANO,"Aerial, allu, HENU, juho, xseveN"
77,928,TSM,"acoR, niko, sirah, valde, Zyphon"
78,928,AMKAL,"Forester, Krad, nota, topo, TRAVIS"
79,924,Poland fe,"Angelka, Hanka, LETi, Liina, vicu"
80,919,Permitta,"bnox, fr3nd, maaryy, mASKED, tomiko"
81,914,DMS,"AW, kAlash, molodoy, sFade8, sm3t"
82,912,inSanitY,"cass1n, delboNi, f4stzin, iDk, pesadelo"
83,907,Monte Gen,"fnl, Gizmy, leen, ryu, shield"
84,907,UNiTY,"Blogg1s, K1-FiDa, Levi, NEOFRAG, Pechyn"
85,906,Sampi,"fino, manguss, sAvana1, The eLiVe, ZEDKO"
86,902,Revenant,"lauNX, NBK-, Neityu, Nivera, reiko"
87,898,DRILLAS,"hAdji, Kvem, meztal, SENER1, Woro2k"
88,892,Aurora Young Blud,"bl1x1, bluewh1te, gr1ks, m1QUSE, VILBy"
89,890,Endpoint,"AZUWU, cej0t, CRUC1AL, MiGHTYMAX, Surreal"
90,880,FURIA fe,"bizinha, gabs, izaa, kaahSENSEI, lulitenz"
91,879,KRÜ,"atarax1a, deco, laser, reversive, righi"
92,877,CYBERSHOKE,"FenomeN, levantino, lov1kus, notineki, TruNiQ"
93,876,CPH Wolves,"eraa, Fessor, sausol, szejn, Tapewaare"
94,875,ex-Enterprise,"bajmi, Demho, ex1st, mwlky, Sobol"
95,864,ALTERNATE aTTaX,"ArroW, awzek, FreeZe, hyped, PerX"
96,860,timbermen,"aleph, dare, nero, shane, snav"
97,857,Young Ninjas,"BluePho3nix, jocab, MisteM, Silence, xKacpersky"
98,856,MOUZ NXT,"Burmylov, Neityu, PR, TOBIZ, xelex"
99,849,kONO,"amster, byr9, kensizor, Polbandana, s4ltovsk1yy"
100,846,Apogee,"Demho, Prism, Qlocuu, swiz, virtuoso"
101,845,FLUFFY AIMERS,"ayy, brett, jason, nooz, slump"
102,841,Case,"bsd, nyezin, RICIOLI, urban0, yepz"
103,841,Hype,"history, leo_drk, MaLLby, redi, vinaabEAST"
104,835,Rhyno,"krazy, NOPEEJ, rafaxF, snapy, TMKj"
105,827,KOI,"adamS, dav1g, JUST, mopoz, stadodo"
106,820,Imperial fe,"ANa, Kat, tory, twenty3, zAAz"
107,818,E-Xolos LAZER,"danoco, land1n, mawth, tatazin, w1"
108,809,BC.Game,"CacaNito, GuardiaN, jkaem, Lekr0, pr1metapz"
109,809,HOTU,"fineshine52, kade0, lampada, mizu, Re1GN"
110,807,Alliance,"avid, b0denmaster, PlesseN, twist, upE"
111,806,Nexus,"ADRON, BTN, Ciocardau, ragga, XELLOW"
112,802,Chinggis Warriors,"fury5k, NEUZ, sergelen19k, xerolte, Zilkenberg"
113,801,RUSH B,"executor, kinqie, Kiro, tex1y, z1Nny"
114,793,1WIN,"buster, HObbit, lattykk, neaLaN, Ryujin"
115,791,L&G,"kL1o, kr1vda, Malkiss, marat2k, OneUn1que"
116,790,Akimbo,"kralz , Mike, N2o, obi, taggy"
117,788,Illuminar,"b1elany, Furlan, kadziu, phr, SpavaQu"
118,787,RUBY,"forkyz, Kaide, mo0N, sowalio, tasman"
119,785,Verdant,"arTisT, Diviiii, Extinct, Girafffe, leaf"
120,782,GR,"7nation, mediocrity, Runnin, SALO_MUX, weqt2"
121,780,ENCE Academy,"2high, millert, myltsi, Schwarz, teme"
122,778,ARCRED,"1NVISIBLEE, DSSj, Get_Jeka, shg, synyx"
123,774,Vikings KR,"lukiz, pancc, realz1n, remix, zmb"
124,773,EYEBALLERS,"delle, dex, HEAP, JW, poiii"
125,770,devils.one,"fanatyk, Frontsiderr, PeTeRoOo, suonko, ZEMO"
126,764,Qiang,"Aaron, Bibu, DGL, kory, Porya"
